"product_key","product_id","product_name","category","supplier_id","cost","selling_price","reorder_level"
119,"PRD00119","Ultra Water Bottle","Sports & Outdoors","SUP0007",39.39,69.08,25
120,"PRD00120","Eco Desk Organizer","Office Supplies","SUP0042",47.79,87.42,25
121,"PRD00121","Classic Desk","Furniture","SUP0097",480.14,907.05,50
122,"PRD00122","Compact Hoodie","Apparel","SUP0003",85.03,142.06,100
123,"PRD00123","Deluxe Board Game","Toys & Games","SUP0084",105.69,164.10,10
124,"PRD00124","Essential Office Chair","Furniture","SUP0097",142.26,180.90,10
125,"PRD00125","Eco Coffee Beans","Grocery","SUP0080",30.45,52.23,20
126,"PRD00126","Ultra Cap","Apparel","SUP0015",107.09,150.97,75
127,"PRD00127","Ultra Snack Box","Grocery","SUP0099",6.32,7.97,25
128,"PRD00128","Smart Cutting Board","Home & Kitchen","SUP0092",92.84,157.13,10
129,"PRD00129","Wireless Desk","Furniture","SUP0014",368.21,581.07,75
130,"PRD00130","Pro Tablet Stand","Electronics","SUP0051",724.76,1095.25,100
131,"PRD00131","Smart Cutting Board","Home & Kitchen","SUP0107",132.39,243.30,100
132,"PRD00132","Heavy-Duty Scarf","Apparel","SUP0039",62.50,107.29,100
133,"PRD00133","Compact Vitamin Pack","Health & Beauty","SUP0101",86.65,170.02,10
134,"PRD00134","Classic Binder","Office Supplies","SUP0048",14.94,29.06,10
135,"PRD00135","Deluxe Yoga Mat","Sports & Outdoors","SUP0109",150.68,217.53,50
136,"PRD00136","Compact Bed Frame","Furniture","SUP0047",426.74,847.09,100
137,"PRD00137","Ultra Pasta Pack","Grocery","SUP0056",20.21,30.25,20
138,"PRD00138","Essential Tyre Inflator","Automotive","SUP0079",257.03,367.58,75
139,"PRD00139","Ultra Bed Frame","Furniture","SUP0106",91.38,123.06,100
140,"PRD00140","Deluxe Board Game","Toys & Games","SUP0107",18.85,25.71,10
141,"PRD00141","Ultra Jacket","Apparel","SUP0097",25.13,43.49,50
142,"PRD00142","Essential Building Blocks","Toys & Games","SUP0044",25.10,37.88,10
143,"PRD00143","Deluxe Water Bottle","Sports & Outdoors","SUP0063",269.66,432.93,20
144,"PRD00144","Pro Pen Set","Office Supplies","SUP0036",60.75,83.79,75
145,"PRD00145","Pro Phone Mount","Automotive","SUP0002",84.99,108.84,75
146,"PRD00146","Compact Pasta Pack","Grocery","SUP0093",7.59,11.07,50
147,"PRD00147","Eco Resistance Bands","Sports & Outdoors","SUP0061",58.04,76.41,100
148,"PRD00148","Ultra Car Vacuum","Automotive","SUP0012",57.05,91.03,25
149,"PRD00149","Heavy-Duty Jacket","Apparel","SUP0040",34.92,53.19,100
150,"PRD00150","Ultra Card Game","Toys & Games","SUP0068",62.40,110.31,25
151,"PRD00151","Heavy-Duty Bike Light","Sports & Outdoors","SUP0043",17.56,32.48,25
152,"PRD00152","Pro Tyre Inflator","Automotive","SUP0033",254.88,334.23,20
153,"PRD00153","Eco Cookware Set","Home & Kitchen","SUP0016",219.41,425.80,100
154,"PRD00154","Heavy-Duty Board Game","Toys & Games","SUP0025",11.09,16.17,20
155,"PRD00155","Pro Phone Mount","Automotive","SUP0098",324.42,587.59,75
156,"PRD00156","Compact Board Game","Toys & Games","SUP0038",25.40,35.74,20
157,"PRD00157","Pro Notebook","Office Supplies","SUP0091",34.60,55.82,75
158,"PRD00158","Premium Blender","Home & Kitchen","SUP0071",157.62,240.64,25
159,"PRD00159","Wireless Seat Cover","Automotive","SUP0014",190.39,344.72,10
160,"PRD00160","Ultra Building Blocks","Toys & Games","SUP0057",8.26,11.89,25
161,"PRD00161","Premium Cookware Set","Home & Kitchen","SUP0111",180.63,347.06,50
162,"PRD00162","Compact Tablet Stand","Electronics","SUP0063",416.67,687.12,10
163,"PRD00163","Essential Puzzle","Toys & Games","SUP0020",16.43,26.05,20
164,"PRD00164","Pro Office Chair","Furniture","SUP0032",491.04,703.10,10
165,"PRD00165","Classic Card Game","Toys & Games","SUP0077",35.23,54.01,75
166,"PRD00166","Portable Hoodie","Apparel","SUP0058",7.91,11.80,50
167,"PRD00167","Smart Hoodie","Apparel","SUP0040",35.66,53.33,75
168,"PRD00168","Smart Shampoo","Health & Beauty","SUP0098",14.62,28.04,20
169,"PRD00169","Pro Shampoo","Health & Beauty","SUP0021",60.58,106.58,20
170,"PRD00170","Compact Kettle","Home & Kitchen","SUP0001",198.98,323.11,50
171,"PRD00171","Smart Tent","Sports & Outdoors","SUP0038",31.55,52.15,10
172,"PRD00172","Heavy-Duty Trousers","Apparel","SUP0090",90.09,162.98,50
173,"PRD00173","Eco Router","Electronics","SUP0101",353.85,476.17,100
174,"PRD00174","Eco Building Blocks","Toys & Games","SUP0015",36.92,56.20,75
175,"PRD00175","Wireless Trousers","Apparel","SUP0106",98.66,165.56,20
176,"PRD00176","Wireless Router","Electronics","SUP0077",294.54,586.10,100
177,"PRD00177","Pro Bed Frame","Furniture","SUP0016",555.05,792.57,50
178,"PRD00178","Heavy-Duty Seat Cover","Automotive","SUP0035",49.70,67.82,75
179,"PRD00179","Ultra Puzzle","Toys & Games","SUP0077",32.53,44.58,10
180,"PRD00180","Heavy-Duty Snack Box","Grocery","SUP0078",8.28,12.12,25
181,"PRD00181","Eco Headphones","Electronics","SUP0098",151.10,290.50,100
182,"PRD00182","Smart Office Chair","Furniture","SUP0098",95.20,156.45,20
183,"PRD00183","Essential Tent","Sports & Outdoors","SUP0118",126.66,251.65,25
184,"PRD00184","Smart Toaster","Home & Kitchen","SUP0082",35.11,54.36,50
185,"PRD00185","Ultra Snack Box","Grocery","SUP0053",38.81,73.71,25
186,"PRD00186","Compact Scarf","Apparel","SUP0021",123.48,178.23,25
187,"PRD00187","Ultra Pen Set","Office Supplies","SUP0085",17.04,29.85,50
188,"PRD00188","Portable Office Chair","Furniture","SUP0059",838.20,1397.76,10
189,"PRD00189","Deluxe T-Shirt","Apparel","SUP0099",87.88,128.30,50
190,"PRD00190","Premium Spice Kit","Grocery","SUP0060",31.01,43.11,50
191,"PRD00191","Portable Webcam","Electronics","SUP0080",269.09,422.22,50
192,"PRD00192","Premium Moisturizer","Health & Beauty","SUP0035",52.24,74.80,75
193,"PRD00193","Pro Toaster","Home & Kitchen","SUP0113",35.79,61.13,100
194,"PRD00194","Premium Resistance Bands","Sports & Outdoors","SUP0078",90.86,153.18,20
195,"PRD00195","Pro Phone Mount","Automotive","SUP0002",70.20,113.08,75
196,"PRD00196","Eco Notebook","Office Supplies","SUP0060",48.87,62.99,10
197,"PRD00197","Wireless Hair Dryer","Health & Beauty","SUP0120",35.65,48.16,100
198,"PRD00198","Heavy-Duty Trousers","Apparel","SUP0054",14.19,28.27,50
199,"PRD00199","Eco Tea Set","Grocery","SUP0071",13.57,25.20,20
200,"PRD00200","Smart Whiteboard","Office Supplies","SUP0096",24.41,42.99,20
201,"PRD00201","Pro Tea Set","Grocery","SUP0044",30.65,52.00,75
202,"PRD00202","Premium Trousers","Apparel","SUP0093",73.38,114.39,25
203,"PRD00203","Smart TV Stand","Furniture","SUP0063",330.26,643.06,20
204,"PRD00204","Ultra Backpack","Sports & Outdoors","SUP0043",250.20,493.84,75
205,"PRD00205","Classic Bed Frame","Furniture","SUP0120",133.76,240.52,25
206,"PRD00206","Heavy-Duty Pasta Pack","Grocery","SUP0074",37.60,52.11,50
207,"PRD00207","Classic T-Shirt","Apparel","SUP0041",14.64,26.44,100
208,"PRD00208","Classic Tent","Sports & Outdoors","SUP0085",174.90,329.05,100
209,"PRD00209","Ultra Coffee Beans","Grocery","SUP0017",6.45,11.91,75
210,"PRD00210","Deluxe Coffee Beans","Grocery","SUP0112",8.86,12.16,50
211,"PRD00211","Ultra Headphones","Electronics","SUP0093",143.95,267.88,20
212,"PRD00212","Essential Stapler","Office Supplies","SUP0010",60.54,99.42,50
213,"PRD00213","Pro Desk","Furniture","SUP0080",338.98,646.74,100
214,"PRD00214","Compact Pen Set","Office Supplies","SUP0110",36.54,68.05,100
215,"PRD00215","Classic Snack Box","Grocery","SUP0081",18.13,27.79,100
216,"PRD00216","Ultra Spice Kit","Grocery","SUP0005",19.04,28.10,75
217,"PRD00217","Essential Router","Electronics","SUP0030",601.87,979.27,100
218,"PRD00218","Compact Charger","Electronics","SUP0057",197.29,379.72,20
219,"PRD00219","Premium Car Vacuum","Automotive","SUP0042",159.72,264.76,10
220,"PRD00220","Deluxe Hoodie","Apparel","SUP0019",136.44,234.43,20
221,"PRD00221","Smart Board Game","Toys & Games","SUP0022",17.56,34.33,20
222,"PRD00222","Classic Monitor","Electronics","SUP0064",507.75,762.22,75
223,"PRD00223","Ultra Cutting Board","Home & Kitchen","SUP0033",41.70,76.96,50
224,"PRD00224","Premium Scarf","Apparel","SUP0060",94.91,156.61,25
225,"PRD00225","Wireless Shampoo","Health & Beauty","SUP0057",89.71,165.20,25
226,"PRD00226","Pro Tea Set","Grocery","SUP0089",6.92,10.27,25
227,"PRD00227","Pro Water Bottle","Sports & Outdoors","SUP0050",79.06,142.94,50
228,"PRD00228","Classic Webcam","Electronics","SUP0074",41.32,69.31,25
229,"PRD00229","Pro Coffee Beans","Grocery","SUP0107",30.74,58.64,100
230,"PRD00230","Premium Whiteboard","Office Supplies","SUP0111",32.10,59.90,100
231,"PRD00231","Premium Sofa","Furniture","SUP0096",121.80,229.57,50
232,"PRD00232","Pro Bookshelf","Furniture","SUP0078",136.55,211.37,25
233,"PRD00233","Eco Storage Box","Home & Kitchen","SUP0033",200.95,273.78,100
234,"PRD00234","Essential TV Stand","Furniture","SUP0108",225.59,404.19,20
235,"PRD00235","Essential Shampoo","Health & Beauty","SUP0040",72.84,126.08,50
236,"PRD00236","Deluxe Speaker","Electronics","SUP0012",559.75,927.53,25
237,"PRD00237","Classic Jacket","Apparel","SUP0026",41.51,62.65,20
238,"PRD00238","Deluxe Sofa","Furniture","SUP0065",183.90,355.17,25
239,"PRD00239","Pro Bed Frame","Furniture","SUP0104",535.47,830.32,25
240,"PRD00240","Deluxe Car Vacuum","Automotive","SUP0060",190.18,372.84,10
241,"PRD00241","Eco Air Fryer","Home & Kitchen","SUP0087",45.11,76.22,100
242,"PRD00242","Classic Vitamin Pack","Health & Beauty","SUP0047",52.07,88.97,10
243,"PRD00243","Premium Desk","Furniture","SUP0069",40.85,77.78,10
244,"PRD00244","Essential Resistance Bands","Sports & Outdoors","SUP0087",280.04,468.74,25
245,"PRD00245","Essential Action Figure","Toys & Games","SUP0014",84.81,164.69,100
246,"PRD00246","Premium Socks Pack","Apparel","SUP0114",107.55,146.74,75
247,"PRD00247","Smart Jacket","Apparel","SUP0083",88.56,151.00,10
248,"PRD00248","Ultra Electric Toothbrush","Health & Beauty","SUP0084",44.14,79.55,50
249,"PRD00249","Premium Headphones","Electronics","SUP0039",748.48,1455.18,50
250,"PRD00250","Eco Speaker","Electronics","SUP0050",368.91,492.47,50
251,"PRD00251","Heavy-Duty Binder","Office Supplies","SUP0070",88.67,166.63,50
252,"PRD00252","Heavy-Duty Board Game","Toys & Games","SUP0114",18.46,35.82,50
253,"PRD00253","Ultra Vitamin Pack","Health & Beauty","SUP0053",87.38,143.23,25
254,"PRD00254","Deluxe Monitor","Electronics","SUP0057",479.15,742.32,50
255,"PRD00255","Deluxe Coffee Beans","Grocery","SUP0088",3.14,4.71,25
256,"PRD00256","Essential Action Figure","Toys & Games","SUP0008",97.13,121.75,50
257,"PRD00257","Compact Scarf","Apparel","SUP0106",53.36,82.63,50
258,"PRD00258","Eco Headphones","Electronics","SUP0007",436.86,847.46,25
259,"PRD00259","Wireless Scarf","Apparel","SUP0073",55.22,83.39,20
260,"PRD00260","Portable Monitor","Electronics","SUP0076",593.94,943.87,20
261,"PRD00261","Eco Desk","Furniture","SUP0100",221.53,352.08,20
262,"PRD00262","Smart Office Chair","Furniture","SUP0036",148.25,204.92,20
263,"PRD00263","Portable Snack Box","Grocery","SUP0103",20.44,31.97,20
264,"PRD00264","Premium Speaker","Electronics","SUP0002",733.15,1115.70,25
265,"PRD00265","Eco Sofa","Furniture","SUP0042",533.01,919.01,10
266,"PRD00266","Premium Kettle","Home & Kitchen","SUP0095",11.17,19.52,50
267,"PRD00267","Heavy-Duty Puzzle","Toys & Games","SUP0061",24.65,48.58,50
268,"PRD00268","Portable Sofa","Furniture","SUP0014",155.08,242.07,50
269,"PRD00269","Smart Yoga Mat","Sports & Outdoors","SUP0094",31.09,62.11,100
270,"PRD00270","Ultra Puzzle","Toys & Games","SUP0008",62.25,105.61,50
271,"PRD00271","Classic TV Stand","Furniture","SUP0014",83.69,151.69,50
272,"PRD00272","Ultra Car Vacuum","Automotive","SUP0116",91.86,176.70,10
273,"PRD00273","Wireless T-Shirt","Apparel","SUP0017",34.75,48.41,25
274,"PRD00274","Smart Vitamin Pack","Health & Beauty","SUP0092",6.55,10.51,25
275,"PRD00275","Smart Whiteboard","Office Supplies","SUP0038",51.71,67.19,50
276,"PRD00276","Classic Yoga Mat","Sports & Outdoors","SUP0102",234.01,372.07,100
277,"PRD00277","Essential Monitor","Electronics","SUP0056",426.65,674.35,50
278,"PRD00278","Classic Snack Box","Grocery","SUP0106",16.63,27.77,50
279,"PRD00279","Heavy-Duty Notebook","Office Supplies","SUP0041",15.66,21.71,50
280,"PRD00280","Pro Trousers","Apparel","SUP0020",129.96,254.67,100
281,"PRD00281","Compact Coffee Beans","Grocery","SUP0107",15.56,22.61,10
282,"PRD00282","Compact Webcam","Electronics","SUP0104",520.54,810.25,20
283,"PRD00283","Smart Card Game","Toys & Games","SUP0072",6.94,9.49,25
284,"PRD00284","Classic Electric Toothbrush","Health & Beauty","SUP0112",72.45,126.37,100
285,"PRD00285","Classic Coffee Beans","Grocery","SUP0037",2.06,2.92,75
286,"PRD00286","Compact Socks Pack","Apparel","SUP0065",38.51,67.54,20
287,"PRD00287","Ultra Kettle","Home & Kitchen","SUP0109",12.77,16.96,10
288,"PRD00288","Portable Pen Set","Office Supplies","SUP0015",72.39,100.18,25
289,"PRD00289","Classic Card Game","Toys & Games","SUP0099",79.72,113.89,75
290,"PRD00290","Essential Vitamin Pack","Health & Beauty","SUP0004",12.65,18.12,75
291,"PRD00291","Heavy-Duty Snack Box","Grocery","SUP0004",29.17,55.18,20
292,"PRD00292","Pro Trousers","Apparel","SUP0045",125.38,194.07,10
293,"PRD00293","Wireless Storage Box","Home & Kitchen","SUP0085",169.68,238.19,50
294,"PRD00294","Heavy-Duty Headphones","Electronics","SUP0012",245.12,471.18,100
295,"PRD00295","Classic Building Blocks","Toys & Games","SUP0059",5.51,7.24,25
296,"PRD00296","Pro Cutting Board","Home & Kitchen","SUP0042",58.31,74.05,75
297,"PRD00297","Premium Board Game","Toys & Games","SUP0021",25.05,42.27,75
298,"PRD00298","Compact Router","Electronics","SUP0057",345.82,663.80,100
299,"PRD00299","Smart Tent","Sports & Outdoors","SUP0054",246.33,371.06,25
300,"PRD00300","Portable Blender","Home & Kitchen","SUP0045",70.78,108.63,50
301,"PRD00301","Essential Power Bank","Electronics","SUP0068",478.38,694.15,100
302,"PRD00302","Eco Hoodie","Apparel","SUP0077",95.50,148.70,10
303,"PRD00303","Pro Monitor","Electronics","SUP0099",448.36,707.11,20
304,"PRD00304","Pro Desk","Furniture","SUP0016",282.66,554.39,10
305,"PRD00305","Classic Water Bottle","Sports & Outdoors","SUP0017",230.50,312.35,50
306,"PRD00306","Eco Card Game","Toys & Games","SUP0072",104.74,169.22,100
307,"PRD00307","Compact Bed Frame","Furniture","SUP0111",807.73,1494.21,100
308,"PRD00308","Premium Power Bank","Electronics","SUP0118",348.79,441.87,10
309,"PRD00309","Smart Tea Set","Grocery","SUP0074",11.48,19.01,50
310,"PRD00310","Classic Tyre Inflator","Automotive","SUP0015",257.06,371.04,50
311,"PRD00311","Deluxe Speaker","Electronics","SUP0103",124.39,233.38,75
312,"PRD00312","Heavy-Duty Backpack","Sports & Outdoors","SUP0012",295.41,485.73,50
313,"PRD00313","Eco Bed Frame","Furniture","SUP0076",175.22,254.81,50
314,"PRD00314","Classic Action Figure","Toys & Games","SUP0096",6.13,11.87,25
315,"PRD00315","Wireless T-Shirt","Apparel","SUP0066",22.07,37.13,100
316,"PRD00316","Portable Monitor","Electronics","SUP0116",230.13,383.31,25
317,"PRD00317","Essential Stapler","Office Supplies","SUP0031",59.32,111.07,10
318,"PRD00318","Eco Kettle","Home & Kitchen","SUP0078",57.95,72.92,20
319,"PRD00319","Essential Office Chair","Furniture","SUP0023",144.77,278.68,100
320,"PRD00320","Smart Bike Light","Sports & Outdoors","SUP0058",262.92,446.45,100
321,"PRD00321","Smart Spice Kit","Grocery","SUP0042",24.42,42.71,100
322,"PRD00322","Ultra T-Shirt","Apparel","SUP0061",30.43,58.91,50
323,"PRD00323","Pro Vitamin Pack","Health & Beauty","SUP0008",43.62,67.06,25
324,"PRD00324","Pro Tent","Sports & Outdoors","SUP0058",158.56,203.79,10
325,"PRD00325","Pro Charger","Electronics","SUP0083",145.53,262.47,10
326,"PRD00326","Portable Hair Dryer","Health & Beauty","SUP0060",11.03,18.78,75
327,"PRD00327","Heavy-Duty Puzzle","Toys & Games","SUP0058",32.46,50.05,75
328,"PRD00328","Deluxe Vitamin Pack","Health & Beauty","SUP0061",31.00,47.02,75
329,"PRD00329","Premium Toaster","Home & Kitchen","SUP0014",182.01,268.07,25
330,"PRD00330","Compact Spice Kit","Grocery","SUP0083",23.09,37.11,20
331,"PRD00331","Heavy-Duty Power Bank","Electronics","SUP0057",535.98,1046.57,75
332,"PRD00332","Wireless Action Figure","Toys & Games","SUP0048",88.98,125.57,25
333,"PRD00333","Deluxe Binder","Office Supplies","SUP0077",4.74,6.86,10
334,"PRD00334","Essential Desk","Furniture","SUP0009",545.69,703.16,25
335,"PRD00335","Essential Tablet Stand","Electronics","SUP0037",404.65,686.95,25
336,"PRD00336","Essential Phone Mount","Automotive","SUP0112",140.36,256.60,20
337,"PRD00337","Smart Cap","Apparel","SUP0019",20.46,26.73,25
338,"PRD00338","Essential Cap","Apparel","SUP0085",110.59,179.33,50
